2024-01-30 17:23:21.551 INFO  [background-preinit] [o.h.validator.internal.util.Version] - HV000001: Hibernate Validator 8.0.1.Final
2024-01-30 17:23:21.594 INFO  [main] [com.jwtpractice.JwtpracticeApplication] - Starting JwtpracticeApplication using Java 17.0.8 with PID 5292 (/Users/otaehun/Desktop/0130/SpringBoot_Security6+JWT-BoilerPlate/build/classes/java/main started by otaehun in /Users/otaehun/Desktop/0130/SpringBoot_Security6+JWT-BoilerPlate)
2024-01-30 17:23:21.597 INFO  [main] [com.jwtpractice.JwtpracticeApplication] - No active profile set, falling back to 1 default profile: "default"
2024-01-30 17:23:22.457 INFO  [main] [o.s.d.r.c.RepositoryConfigurationDelegate] - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-01-30 17:23:22.528 INFO  [main] [o.s.d.r.c.RepositoryConfigurationDelegate] - Finished Spring Data repository scanning in 66 ms. Found 2 JPA repository interfaces.
2024-01-30 17:23:23.057 INFO  [main] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port 8089 (http)
2024-01-30 17:23:23.064 INFO  [main] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8089"]
2024-01-30 17:23:23.065 INFO  [main] [o.apache.catalina.core.StandardService] - Starting service [Tomcat]
2024-01-30 17:23:23.065 INFO  [main] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/10.1.18]
2024-01-30 17:23:23.109 INFO  [main] [o.a.c.c.C.[.[localhost].[/dalbang]] - Initializing Spring embedded WebApplicationContext
2024-01-30 17:23:23.110 INFO  [main] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 1466 ms
2024-01-30 17:23:23.246 INFO  [main] [o.hibernate.jpa.internal.util.LogHelper] - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-01-30 17:23:23.285 INFO  [main] [org.hibernate.Version] - HHH000412: Hibernate ORM core version 6.4.1.Final
2024-01-30 17:23:23.312 INFO  [main] [o.h.c.internal.RegionFactoryInitiator] - HHH000026: Second-level cache disabled
2024-01-30 17:23:23.515 INFO  [main] [o.s.o.j.p.SpringPersistenceUnitInfo] - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-01-30 17:23:23.537 INFO  [main] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Starting...
2024-01-30 17:23:23.637 INFO  [main] [com.zaxxer.hikari.pool.HikariPool] - HikariPool-1 - Added connection org.mariadb.jdbc.Connection@2d24cdd9
2024-01-30 17:23:23.639 INFO  [main] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Start completed.
2024-01-30 17:23:24.286 INFO  [main] [o.h.e.t.j.p.i.JtaPlatformInitiator] - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-01-30 17:23:24.645 INFO  [main] [o.s.o.j.LocalContainerEntityManagerFactoryBean] - Initialized JPA EntityManagerFactory for persistence unit 'default'
