2023-11-07 16:08:40.028 INFO  [background-preinit] [o.h.validator.internal.util.Version] - HV000001: Hibernate Validator 6.2.5.Final
2023-11-07 16:08:40.033 INFO  [restartedMain] [com.shop.Pro05Application] - Starting Pro05Application using Java 17.0.7 on FULL8-011 with PID 14440 (C:\Users\db400tea\Desktop\1107\1107 오전 작업 이후 SMTP 작업 전\11071515\SpringBoot_Study\pro05\build\classes\java\main started by db400tea in C:\Users\db400tea\Desktop\1107\1107 오전 작업 이후 SMTP 작업 전\11071515\SpringBoot_Study\pro05)
2023-11-07 16:08:40.034 INFO  [restartedMain] [com.shop.Pro05Application] - No active profile set, falling back to 1 default profile: "default"
2023-11-07 16:08:40.260 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-11-07 16:08:40.260 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-11-07 16:08:40.694 WARN  [restartedMain] [o.m.spring.mapper.ClassPathMapperScanner] - No MyBatis mapper was found in '[com.shop]' package. Please check your configuration.
2023-11-07 16:08:40.920 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8085 (http)
2023-11-07 16:08:40.925 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8085"]
2023-11-07 16:08:40.926 INFO  [restartedMain] [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-11-07 16:08:40.926 INFO  [restartedMain] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.82]
2023-11-07 16:08:40.971 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-07 16:08:40.971 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 710 ms
2023-11-07 16:08:41.085 INFO  [restartedMain] [o.s.b.a.w.s.WelcomePageHandlerMapping] - Adding welcome page template: index
2023-11-07 16:08:41.266 WARN  [restartedMain] [o.s.b.a.s.s.UserDetailsServiceAutoConfiguration] - 

Using generated security password: 52526e54-cad9-4d13-abc6-5095cd56630b

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2023-11-07 16:08:41.325 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@1c9d043e, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@708c7e43, org.springframework.security.web.context.SecurityContextPersistenceFilter@5bc4b294, org.springframework.security.web.header.HeaderWriterFilter@4e9ec3b9, org.springframework.security.web.csrf.CsrfFilter@675d41c5, org.springframework.security.web.authentication.logout.LogoutFilter@1c7e91d5, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@b8f02dc, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@18d71053, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@4c81db09, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@3a5ac4fa, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@41dcf30, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@2165066c, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@78557170, org.springframework.security.web.session.SessionManagementFilter@a82989e, org.springframework.security.web.access.ExceptionTranslationFilter@3c8c7b62, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@123b99]
2023-11-07 16:08:41.349 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-11-07 16:08:41.359 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8085"]
2023-11-07 16:08:41.369 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8085 (http) with context path ''
2023-11-07 16:08:41.376 INFO  [restartedMain] [com.shop.Pro05Application] - Started Pro05Application in 1.572 seconds (JVM running for 2.023)
2023-11-07 16:17:00.567 INFO  [background-preinit] [o.h.validator.internal.util.Version] - HV000001: Hibernate Validator 6.2.5.Final
2023-11-07 16:17:00.575 INFO  [restartedMain] [com.shop.Pro05Application] - Starting Pro05Application using Java 17.0.7 on FULL8-011 with PID 6916 (C:\Users\db400tea\Desktop\1107\1107 오전 작업 이후 SMTP 작업 전\11071515\SpringBoot_Study\pro05\build\classes\java\main started by db400tea in C:\Users\db400tea\Desktop\1107\1107 오전 작업 이후 SMTP 작업 전\11071515\SpringBoot_Study\pro05)
2023-11-07 16:17:00.575 INFO  [restartedMain] [com.shop.Pro05Application] - No active profile set, falling back to 1 default profile: "default"
2023-11-07 16:17:00.776 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-11-07 16:17:00.777 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-11-07 16:17:01.185 WARN  [restartedMain] [o.m.spring.mapper.ClassPathMapperScanner] - No MyBatis mapper was found in '[com.shop]' package. Please check your configuration.
2023-11-07 16:17:01.423 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8085 (http)
2023-11-07 16:17:01.428 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8085"]
